Title,Link,Short Link
"Failing to Understand the Exponential, Again",https://www.julian.ac/blog/2025/09/27/failing-to-understand-the-exponential-again/,https://tinyurl.com/25r7zq6u
A WebGL game where you deliver messages on a tiny planet,https://messenger.abeto.co/,https://tinyurl.com/2bhqo8q7
"Beyond OpenMP in C++ and Rust: Taskflow, Rayon, Fork Union",https://ashvardanian.com/posts/beyond-openmp-in-cpp-rust/,https://tinyurl.com/27bqfxsx
Man still alive six months after pig kidney transplant,https://www.nature.com/articles/d41586-025-02851-w,https://tinyurl.com/22f8nhgm
Privacy Badger is a free browser extension made by EFF to stop spying,https://privacybadger.org/,https://tinyurl.com/tjjgk5z
Learn to play Go,https://online-go.com/learn-to-play-go,https://tinyurl.com/jzzeoz6
IBM Intellistation 185 AIX workstation (2016),http://www.ibmfiles.com/pages/intellipower185.htm,https://tinyurl.com/27nllwwf
EPA tells some scientists to stop publishing studies,https://www.washingtonpost.com/climate-environment/2025/09/20/epa-scientists-research-publications/,https://tinyurl.com/25bbqayn
Python developers are embracing type hints,https://pyrefly.org/blog/why-typed-python/,https://tinyurl.com/2d8ze9oy
Haydex: From Zero to 178.6B rows a second in 30 days,https://axiom.co/blog/building-haydex,https://tinyurl.com/28aszv5j
